Title,Author,Item Number,Checkedout Date
My first book of chess tactics,"MacEnulty, David.",i2324136a,05/10/2022
"Ungodly : the passions, torments, and murder of atheist Madalyn Murray O'Hair","Dracos, Ted.",i1503817a,05/10/2022
Wrath of man [DVD],,i2414123a,05/02/2022
,,i2378861a,05/02/2022
Chess : from first moves to checkmate,"King, Daniel.",i2198572a,04/29/2022
Gladiators,"Lee, Adrienne, 1981-",i2067963a,03/08/2022
Camping with unicorns,"Simpson, Dana, 1977-",i2384173a,03/08/2022
The Handmaid's tale. Season three [DVD],,i2353630a,02/15/2022
News of the world [DVD],,i2408538a,02/15/2022
In the Heights [DVD],,i2419960a,02/15/2022
The handmaid's tale. Season two [DVD],,i2318581a,02/15/2022
Land [DVD],,i2409258a,02/15/2022
The handmaid's tale. Season one [DVD],,i2286187a,02/15/2022
News of the world [DVD],,i2408538a,02/15/2022
The Handmaid's tale. Season three [DVD],,i2353630a,02/15/2022
In the Heights [DVD],,i2419960a,02/15/2022
The handmaid's tale. Season two [DVD],,i2318581a,02/15/2022
The handmaid's tale. Season one [DVD],,i2286187a,02/15/2022
Land [DVD],,i2409258a,02/15/2022
A thousand brains : a new theory of intelligence,"Hawkins, Jeff, 1957-",i2402943a,01/14/2022
"What happened, Miss Simone?",,i2220275a,01/13/2022
Yellowstone. Season 1 [DVD],,i2323467a,01/13/2022
Yellowstone. Season 2 [DVD],,i2351619a,12/28/2021
Yellowstone. Season 3 [DVD],,i2400701a,12/28/2021
"Atomic habits : tiny changes, remarkable results : an easy & proven way to build good habits & break bad ones","Clear, James.",i2317554a,12/28/2021
It's About the Music. Movie collection. Volume 1 [DVD] : binge watch set.,,i2351204a,11/05/2021
Roma [DVD],,i2361266a,11/05/2021
Selma [DVD],,i2146389a,11/05/2021
The equalizer 2 [DVD],,i2318455a,11/05/2021
Jurassic World movie collection : binge watch set.,,i2377213a,11/05/2021
Blinded by the Light [DVD],,i2353027a,11/05/2021
Jason Bourne [DVD],,i2234339a,09/22/2021
Fences [DVD],,i2241372a,09/22/2021
Marvel Cinematic Universe (MCU). Movie collection Volume 3. [DVD] : binge watch set. ,,i2394408a,09/07/2021
The man who knew infinity [DVD],,i2217546a,09/07/2021
Star Wars. Movie collection [DVD] : binge watch set.,,i2357787a,09/07/2021
Sicario [DVD],,i2182801a,09/07/2021
Marvel Cinematic Universe (MCU). Movie collection Volume 2. [Bluray] : binge watch set.,,i2393806a,09/07/2021
Once upon a time... in Hollywood,,i2358233a,08/31/2021
The illustrated man,"Bradbury, Ray, 1920-2012.",i1752768a,08/31/2021
Bradbury stories : 100 of his most celebrated tales,"Bradbury, Ray, 1920-2012.",i2352235a,08/31/2021
The Equalizer [DVD],,i2128556a,08/12/2021
The Matrix. Movie collection [DVD] :  Binge Watch Set,,i2341265a,08/12/2021
Die Hard. Movie collection [DVD] : binge watch set.,,i2365136a,08/05/2021
Lincoln [DVD],,i2050132a,06/21/2021
,,i1502177a,06/15/2021
Karaoke system,,i2244402a,06/07/2021
Western stars [Blu-ray],,i2376590a,06/02/2021
Big bang theory. The twelfth and final season [DVD],,i2352722a,06/02/2021
Machine learning : hands-on for developers and technical professionals,"Bell, Jason.",i2163623a,05/20/2021
African American Film Critics Association award winners. Movie collection [DVD] : binge watch set.,,i2399641a,05/20/2021
Hustlers [DVD],,i2356108a,05/20/2021
